area,bedrooms,location,price
120,8,"Quận Gò Vấp, Hồ Chí Minh",13.9
284,2,"Quận 2, Hồ Chí Minh",4.2
25,2,"Quận Bình Thạnh, Hồ Chí Minh",3.1
60,4,"Quận Tân Phú, Hồ Chí Minh",9.9
46,3,"Huyện Bình Chánh, Hồ Chí Minh",4.3
56,3,"Quận Tân Phú, Hồ Chí Minh",5.98
55,0,"Quận 2, Hồ Chí Minh",1.59
50,4,"Quận Gò Vấp, Hồ Chí Minh",2.89
50,2,"Quận Phú Nhuận, Hồ Chí Minh",2.59
35,4,"Quận Bình Thạnh, Hồ Chí Minh",2.29
70,3,"Quận 2, Hồ Chí Minh",3.1
40,2,"Quận 3, Hồ Chí Minh",2.49
80.5,3,"Quận 9, Hồ Chí Minh",3.75
60,2,"Quận 2, Hồ Chí Minh",6.6
67.8,3,"Quận 2, Hồ Chí Minh",6.6
80.5,3,"Quận 2, Hồ Chí Minh",6.7
55,2,"Quận 2, Hồ Chí Minh",6.8
105,3,"Quận 1, Hồ Chí Minh",5.1
50.6,3,"Quận 12, Hồ Chí Minh",4.15
66,6,"Quận Bình Tân, Hồ Chí Minh",13
80,4,"Quận Bình Tân, Hồ Chí Minh",14.8
83,9,"Quận Bình Tân, Hồ Chí Minh",14
144,3,"Quận 1, Hồ Chí Minh",14.6
85,3,"Quận 1, Hồ Chí Minh",9.5
65.7,2,"Quận 2, Hồ Chí Minh",3
72,4,"Quận Bình Tân, Hồ Chí Minh",11.8
82,6,"Quận Bình Tân, Hồ Chí Minh",8.75
52,6,"Quận Bình Tân, Hồ Chí Minh",7.56
51.9,4,"Quận Bình Tân, Hồ Chí Minh",9.2
100,4,"Quận Bình Tân, Hồ Chí Minh",11.9
84.1,4,"Quận Bình Tân, Hồ Chí Minh",8
128,3,"Huyện Củ Chi, Hồ Chí Minh",2.2
60.5,3,"Quận Bình Tân, Hồ Chí Minh",8
49.4,4,"Quận Bình Tân, Hồ Chí Minh",8.25
80,4,"Quận Bình Tân, Hồ Chí Minh",9.3
50,4,"Quận 6, Hồ Chí Minh",8.6
66,3,"Quận Bình Tân, Hồ Chí Minh",5.58
100.1,5,"Quận Bình Tân, Hồ Chí Minh",16
3000,0,"Quận Bình Tân, Hồ Chí Minh",30
84.3,3,"Quận Bình Tân, Hồ Chí Minh",11.7
71.2,4,"Quận Bình Tân, Hồ Chí Minh",12.3
80,0,"Quận 12, Hồ Chí Minh",3.5
128,6,"Quận Bình Tân, Hồ Chí Minh",11.4
86.9,4,"Quận Bình Tân, Hồ Chí Minh",6.35
98,5,"Quận Bình Tân, Hồ Chí Minh",12.9
50,4,"Quận Bình Tân, Hồ Chí Minh",7.6
60,4,"Quận Bình Tân, Hồ Chí Minh",11.5
40,2,"Quận Bình Tân, Hồ Chí Minh",4.55
48,4,"Quận Bình Tân, Hồ Chí Minh",7.95
42.4,3,"Quận Bình Tân, Hồ Chí Minh",4.35
75,4,"Quận Bình Tân, Hồ Chí Minh",15
70,2,"Quận 12, Hồ Chí Minh",2.65
60,4,"Quận Bình Tân, Hồ Chí Minh",11.8
